token,role_level,function,country,placements,extremity_count,extremity_rate,mean_x,mean_y,sd_x,sd_y,combined_sd
30545a77-664a-44d4-9d54-a7c1993a32b9,Middle manager,Operations,Thailand,14,8,0.5714285714285714,5.642857142857143,6.142857142857143,1.3363062095621219,0.7703288865196433,1.542439911024374
7cb82cfd-fb62-4f52-9d5d-7a429aef0680,Middle manager,Operations,Viet nam,24,9,0.375,4.833333333333333,4.666666666666667,1.3405601251996728,1.9708013524996608,2.383518286124496
a286d5ad-f97f-4e1f-88c7-4d6e9234c1c8,Middle manager,IT,Viet nam,23,6,0.2608695652173913,4.6521739130434785,4.608695652173913,1.3006535298622317,2.0391426548425735,2.418636469488853
b828caf0-4cef-4a31-9cf0-102b91841982,Senior manager,Internal Audit,Viet Nam,24,5,0.20833333333333334,4.666666666666667,4.708333333333333,1.307725096316589,1.7315277663950703,2.169869427715256
fed6c52e-3491-40cf-91df-5c9a734a0926,Middle manager,Data/Analytics,Viet nam,23,9,0.391304347826087,4.782608695652174,4.391304347826087,1.3469332756346388,2.230758746476238,2.6058614379878478
eb0fc86c-c0b4-447e-a72b-785aa6e61518,Senior manager,Finance,vietnam,25,6,0.24,4.76,4.68,1.4224392195567912,1.8193405398660252,2.309401076758503
cdecce63-879c-40b2-b10f-9c7fa53bd875,Middle manager,Data/Analytics,India,25,12,0.48,3.68,5.8,2.0760539492026693,1.118033988749895,2.357965224510319
7372d8df-8801-4122-acd5-a879fc9db86b,Middle manager,Logistic,Vietnam,23,6,0.2608695652173913,4.695652173913044,4.434782608695652,1.3959285801180925,1.9731397903876622,2.4170017031854947
ad1b9e2e-51bb-4e90-a9ad-816022f82dc4,Middle manager,Product,Singapore,23,13,0.5652173913043478,4.608695652173913,5.739130434782608,1.9479390142306958,1.629762707333015,2.5398017413521656
403fcc5a-e686-45f2-bcab-23af322043b8,Middle manager,Design,vietnam,23,4,0.17391304347826086,4.304347826086956,4.739130434782608,1.2945614423669667,1.8145220082922873,2.2289861925638563
ab659953-8333-4356-ac9b-53729fb97748,Middle manager,Project management,India,24,7,0.2916666666666667,4.458333333333333,4.583333333333333,1.2150922908825974,2.0834057958412537,2.4118517751941653
dfbc11e3-d5d5-4bcc-b914-d89ffa62854f,Middle manager,HR,Viet nam,23,7,0.30434782608695654,4.826086956521739,4.695652173913044,1.4663552190579532,1.7434235548768993,2.2780964246840174
35569596-4e4f-4ef8-ba25-8e0b36d7c77c,Middle manager,Sales,Vietnam,24,4,0.16666666666666666,4.541666666666667,4.333333333333333,1.3180739131701644,1.857222485950146,2.2774095378079346
c9a109b8-eb5c-4ec3-b8c4-7c0dbf4de12b,Middle manager,Product,Viet nam,23,6,0.2608695652173913,4.565217391304348,4.478260869565218,1.5023038960368273,1.997033372903447,2.4990116623452456
1bcbccfe-54d9-4e71-b8b9-210f70fb1bbc,Staff,Engineering,Vietnam,24,9,0.375,4.541666666666667,5.25,1.887698545081139,1.6746187106583268,2.523440830134205
0faae8e3-9d8d-456d-927c-72e3e608a22a,Staff,Data/Analytics,france,4,1,0.25,5.25,5.0,1.5,2.160246899469287,2.6299556396765835
