function,n_participants,n_placements,mean_x,mean_y,median_x,median_y,sd_x,sd_y
Data/Analytics,3,40,4.35,5.0,5.0,5.5,1.776628902278204,2.0380986614602725
Operations,2,29,5.137931034482759,4.896551724137931,5.0,5.0,1.4571042204865121,1.8773999419068705
Product,2,38,4.315789473684211,4.947368421052632,5.0,5.5,1.694271160496928,2.0261449005179113
Design,1,19,3.9473684210526314,4.473684210526316,4.0,5.0,1.1290942392774796,1.896441728097696
Engineering,1,19,4.105263157894737,4.947368421052632,4.0,5.0,1.8527678046673026,1.7150861400630166
Finance,1,19,4.473684210526316,4.2631578947368425,5.0,4.0,1.4669856112538155,1.8809603121561158
HR,1,19,4.684210526315789,4.631578947368421,5.0,4.0,1.4926721593968972,1.8321367706038845
IT,1,19,4.421052631578948,4.2631578947368425,4.0,4.0,1.304513083861144,2.077447826946374
Internal Audit,1,19,4.421052631578948,4.526315789473684,5.0,4.0,1.346426937147361,1.8669172764102495
Logistic,1,19,4.473684210526316,4.315789473684211,5.0,5.0,1.3485968449808852,2.1616000138515545
Project management,1,19,4.315789473684211,4.2631578947368425,4.0,4.0,1.2042808632793343,2.1561824614390925
Sales,1,19,4.368421052631579,4.157894736842105,5.0,4.0,1.382852378872881,1.9511580007420335
