token,tenure_years,n_placements,mean_x,mean_y,sd_x,sd_y,extreme_rate
30545a77-664a-44d4-9d54-a7c1993a32b9,15.0,14,5.642857142857143,6.142857142857143,1.3363062095621219,0.7703288865196433,0.5714285714285714
7cb82cfd-fb62-4f52-9d5d-7a429aef0680,15.0,24,4.833333333333333,4.666666666666667,1.3405601251996728,1.9708013524996608,0.375
a286d5ad-f97f-4e1f-88c7-4d6e9234c1c8,12.0,23,4.6521739130434785,4.608695652173913,1.3006535298622317,2.0391426548425735,0.2608695652173913
b828caf0-4cef-4a31-9cf0-102b91841982,18.0,24,4.666666666666667,4.708333333333333,1.307725096316589,1.7315277663950703,0.20833333333333334
fed6c52e-3491-40cf-91df-5c9a734a0926,10.0,23,4.782608695652174,4.391304347826087,1.3469332756346388,2.230758746476238,0.391304347826087
eb0fc86c-c0b4-447e-a72b-785aa6e61518,15.0,25,4.76,4.68,1.4224392195567912,1.8193405398660252,0.24
cdecce63-879c-40b2-b10f-9c7fa53bd875,16.0,25,3.68,5.8,2.0760539492026693,1.118033988749895,0.48
7372d8df-8801-4122-acd5-a879fc9db86b,10.0,23,4.695652173913044,4.434782608695652,1.3959285801180925,1.9731397903876622,0.2608695652173913
ad1b9e2e-51bb-4e90-a9ad-816022f82dc4,55.0,23,4.608695652173913,5.739130434782608,1.9479390142306958,1.629762707333015,0.5652173913043478
403fcc5a-e686-45f2-bcab-23af322043b8,12.0,23,4.304347826086956,4.739130434782608,1.2945614423669667,1.8145220082922873,0.17391304347826086
ab659953-8333-4356-ac9b-53729fb97748,15.0,24,4.458333333333333,4.583333333333333,1.2150922908825974,2.0834057958412537,0.2916666666666667
dfbc11e3-d5d5-4bcc-b914-d89ffa62854f,15.0,23,4.826086956521739,4.695652173913044,1.4663552190579532,1.7434235548768993,0.30434782608695654
35569596-4e4f-4ef8-ba25-8e0b36d7c77c,12.0,24,4.541666666666667,4.333333333333333,1.3180739131701644,1.857222485950146,0.16666666666666666
c9a109b8-eb5c-4ec3-b8c4-7c0dbf4de12b,15.0,23,4.565217391304348,4.478260869565218,1.5023038960368273,1.997033372903447,0.2608695652173913
1bcbccfe-54d9-4e71-b8b9-210f70fb1bbc,10.0,24,4.541666666666667,5.25,1.887698545081139,1.6746187106583268,0.375
0faae8e3-9d8d-456d-927c-72e3e608a22a,2.0,4,5.25,5.0,1.5,2.160246899469287,0.25
