statement_id,n,corr_x,corr_y
6907912510acab4c189c26cd,15,-0.5626969417601289,0.29590755565858495
69079125de5cf20cb23dbb42,15,0.1510046921661971,0.8375724454412073
690791231130232c6f24a8b1,15,-0.539674320611484,0.34958075449116827
69593dc0eac6a120dc6e88a1,15,0.6207743940030988,0.7693506753226298
69079122e0cd0242cebd60cf,16,-0.3593984887093614,0.8469775563322166
69593db9785c2ed83c8cbea7,15,0.058906137458608815,0.9163363391857652
690791237f24aa1ecd5429a9,15,-0.08760074403482314,0.80397672197771
69593db392815610917874fb,15,0.46242397396217094,-0.6935940442733552
69593daf0a570c24336526d8,15,-0.31635618155927137,-0.7258515927630661
69079123065e0438f4af92d0,16,-0.4198622046941517,-0.7565386850765411
69623dd4e66dc12580f9c683,1,nan,nan
69623e109a7f36eb1d1a48ed,1,nan,nan
69623e5ae0640bffa8f7cf43,1,nan,nan
69623ec668afe0c8507ae99c,1,nan,nan
69593dddb7e03945a9abeb07,14,-0.811472936522702,0.7609199566978643
69593dddef4549e17f3ee3a2,14,0.09882874429689102,-0.7843350152329756
69593ddde0762f0fda4a8b45,14,0.12240471486272739,-0.7161337480546376
69593ddcadb5f834c1df5aac,14,0.9265386647646076,0.8836084636872117
69593ddc97c883f04d4a839d,14,-0.509473900686377,0.16814236150966227
69593ddc5731441183ecdee5,14,0.4051690722963362,0.7592386309529854
69593ddbdf5f0ff1ac2e78f2,14,-0.9709777389354117,0.32470660626079845
69079124900fedf3fc27cf51,14,-0.7463290781523777,-0.8373477208510357
69593ddac1fb00b7ab7169e6,14,-0.5450993057676039,0.4983026382031927
696154a549312a96c61f163b,1,nan,nan
696154e25b8fa78b07efe2c5,1,nan,nan
6961551ccba94fc1792e4fef,1,nan,nan
6961584bb637af3b2c5f3e6c,1,nan,nan
696158837f58e0d57d733b8c,1,nan,nan
69614c5693ce0292bfcf2548,1,nan,nan
69614c9f694da8029173bc8d,1,nan,nan
69614cba06256ac12cf13ec3,1,nan,nan
69614ce1092a925863efe17f,1,nan,nan
69613b40078b23352ef473eb,1,nan,nan
69613e532106c691db26a56e,1,nan,nan
69613eb74c3f8190091231a4,1,nan,nan
69613f3bb3356976f6a60931,1,nan,nan
6961406f96a6a2b22a8083c3,1,nan,nan
69613190370dd5f27f51b51e,1,nan,nan
6961335f4f26a8154fb3d097,1,nan,nan
696135426bbb7cfb720b26b4,1,nan,nan
696135c28d0ecab4645bfd1f,1,nan,nan
695cd6640ba0dc5235852602,1,nan,nan
695cd7664380b60b00dfa8de,1,nan,nan
695cd7ead3f4b81be7194bdd,1,nan,nan
695cd844360395be926f7a4e,1,nan,nan
695cdb0d37003bbfcd3ccb42,1,nan,nan
695cdb498b2225acf47588b2,1,nan,nan
695ccd266b5a4765975010c1,1,nan,nan
695ccdd4c9afeb98c54493ba,1,nan,nan
695cd05ca41dfc378cc2fb6a,1,nan,nan
695cd103e7226e5cc8aa5205,1,nan,nan
695cd1b61c2f72d78f0598fc,1,nan,nan
695cccb76859440ace1ef871,1,nan,nan
695cd0566859440ace1f0374,1,nan,nan
695cd0bf8984a060e27177a2,1,nan,nan
695cd13bdcb11b668666a780,1,nan,nan
695cd203abb3cc6a95472da1,1,nan,nan
695c9f3dd3532ccd05f0f166,1,nan,nan
695c9fc800ae14b00cbc8dc1,1,nan,nan
695ca03ede38cce0ddc2a03b,1,nan,nan
695ca1380d03a9f4ab4f3667,1,nan,nan
695c28d6a203a012babb6234,1,nan,nan
695c28e8d6fc39a4c98a14c9,1,nan,nan
695c2903e88bf14c30ea00b4,1,nan,nan
695c29534847f0ce87dedcf8,1,nan,nan
695c02e9c431c7feaeffe2ec,1,nan,nan
695c034d99528b121cd05c16,1,nan,nan
695c03cb6ff1bc0ae7776f0b,1,nan,nan
695c0412a542d298697f2a4c,1,nan,nan
695c04a7f824e832f47d8a7b,1,nan,nan
695bfeb049bdce1800054d79,1,nan,nan
695bfeded0fac90608a86445,1,nan,nan
695bfef8ec9a2540846c0bee,1,nan,nan
695bff1ac48631b3adca4af6,1,nan,nan
695be1778fa01f99647c37c0,1,nan,nan
695be2deb254a16120c3de01,1,nan,nan
695be328d1a9b6435b4f2a75,1,nan,nan
695be3447020dda6c146ce7a,1,nan,nan
695be4b6f3b60da0c67d717f,1,nan,nan
695bda9080026e99c603ec55,1,nan,nan
695bdaa4bc7af36c6f124d25,1,nan,nan
695bdab29c08a22c055703fa,1,nan,nan
695bdad5646924b3fb0f579d,1,nan,nan
695ba2641f6444a89c7ee4d7,1,nan,nan
695ba2880c7a0a2e2f75ff9d,1,nan,nan
695ba3130c7a0a2e2f75ffcf,1,nan,nan
695ba34374783d560393fa49,1,nan,nan
695ba3616bd18b710133e15b,1,nan,nan
695bbca56d2358b3faf16fc7,1,nan,nan
695bbca97b62cf98f1ebacd4,1,nan,nan
