category,cell_id,count,pct
seed,42,8,0.02877697841726619
seed,48,5,0.017985611510791366
seed,34,10,0.03597122302158273
seed,26,13,0.046762589928057555
seed,47,1,0.0035971223021582736
seed,41,8,0.02877697841726619
seed,49,7,0.025179856115107913
seed,33,16,0.05755395683453238
raw,20,1,0.014084507042253521
raw,35,5,0.07042253521126761
raw,49,4,0.056338028169014086
raw,27,3,0.04225352112676056
seed,31,11,0.039568345323741004
seed,35,11,0.039568345323741004
seed,21,12,0.04316546762589928
seed,10,8,0.02877697841726619
seed,25,10,0.03597122302158273
seed,38,14,0.050359712230215826
seed,32,6,0.02158273381294964
seed,44,3,0.01079136690647482
seed,37,23,0.08273381294964029
seed,28,23,0.08273381294964029
raw,40,8,0.11267605633802817
raw,34,8,0.11267605633802817
seed,30,16,0.05755395683453238
seed,9,9,0.03237410071942446
seed,27,12,0.04316546762589928
raw,42,5,0.07042253521126761
raw,41,14,0.19718309859154928
seed,14,11,0.039568345323741004
seed,39,4,0.014388489208633094
raw,39,3,0.04225352112676056
seed,36,2,0.007194244604316547
seed,11,3,0.01079136690647482
seed,20,4,0.014388489208633094
raw,47,2,0.028169014084507043
seed,3,1,0.0035971223021582736
seed,40,2,0.007194244604316547
seed,13,2,0.007194244604316547
seed,7,1,0.0035971223021582736
seed,5,1,0.0035971223021582736
seed,19,3,0.01079136690647482
seed,12,3,0.01079136690647482
raw,18,1,0.014084507042253521
raw,33,3,0.04225352112676056
raw,25,1,0.014084507042253521
raw,6,1,0.014084507042253521
raw,13,1,0.014084507042253521
raw,7,1,0.014084507042253521
raw,26,3,0.04225352112676056
seed,1,2,0.007194244604316547
seed,17,5,0.017985611510791366
seed,18,3,0.01079136690647482
raw,48,2,0.028169014084507043
seed,8,2,0.007194244604316547
seed,16,2,0.007194244604316547
seed,23,1,0.0035971223021582736
raw,21,1,0.014084507042253521
raw,45,1,0.014084507042253521
raw,32,1,0.014084507042253521
raw,38,1,0.014084507042253521
raw,19,1,0.014084507042253521
