statement_id,n_participants,mean_x,mean_y,sd_x,sd_y,sd_diff,sd_ratio,dominant_axis
6907912510acab4c189c26cd,15,4.4,5.0,1.1832159566199232,1.0,0.18321595661992318,1.1832159566199232,Balanced
69079125de5cf20cb23dbb42,15,6.333333333333333,3.466666666666667,0.816496580927726,2.325838302531758,-1.509341721604032,0.3510547487497047,Impact
690791231130232c6f24a8b1,15,4.4,5.0,0.7367883976130073,0.9258200997725514,-0.18903170215954412,0.7958224257542216,Balanced
69593dc0eac6a120dc6e88a1,15,5.8,3.7333333333333334,0.7745966692414834,1.8309508328682538,-1.0563541636267704,0.42305705611332467,Impact
69079122e0cd0242cebd60cf,16,5.125,3.125,1.2583057392117916,1.5438048235879214,-0.2854990843761298,0.8150678894028793,Balanced
69593db9785c2ed83c8cbea7,15,5.666666666666667,3.6,1.0465362369445672,2.02837021134844,-0.9818339744038727,0.5159493228057419,Impact
690791237f24aa1ecd5429a9,15,5.733333333333333,3.8666666666666667,0.7037315505489968,1.7674302033770737,-1.063698652828077,0.39816652969059774,Impact
69593db392815610917874fb,15,3.933333333333333,6.533333333333333,1.486446705914413,0.9154754164341269,0.5709712894802862,1.6236882817719775,Implementability
69593daf0a570c24336526d8,15,4.133333333333334,6.4,0.5163977794943223,0.828078671210825,-0.3116808917165027,0.6236095644623236,Impact
69079123065e0438f4af92d0,16,4.4375,6.375,1.1528949070347507,0.7187952884282608,0.43409961860648993,1.6039266333474516,Implementability
69593dddb7e03945a9abeb07,14,4.5,3.2857142857142856,1.454436184706849,1.7288756430151329,-0.27443945830828387,0.841261307939034,Balanced
69593dddef4549e17f3ee3a2,14,3.9285714285714284,5.571428571428571,1.439245834257849,2.2434275189912047,-0.8041816847333558,0.6415388159743312,Impact
69593ddde0762f0fda4a8b45,14,2.4285714285714284,6.5,0.646206172658864,1.0919284281983377,-0.44572225553947364,0.5918026822738672,Impact
69593ddcadb5f834c1df5aac,14,3.142857142857143,3.5,1.7478401113789142,1.9513309067639726,-0.20349079538505843,0.8957169208565854,Balanced
69593ddc97c883f04d4a839d,14,4.0,4.571428571428571,0.8770580193070292,1.0894095588038444,-0.21235153949681518,0.8050764858994133,Balanced
69593ddc5731441183ecdee5,14,2.2857142857142856,3.5714285714285716,0.825420305855557,1.8277470669267508,-1.0023267610711937,0.4516053237297504,Impact
69593ddbdf5f0ff1ac2e78f2,14,4.428571428571429,2.5,1.869359648250035,1.0919284281983377,0.7774312200516973,1.7119800162492746,Implementability
69079124900fedf3fc27cf51,14,4.571428571428571,5.642857142857143,1.3424596091494903,1.5984195491000024,-0.25595993995051214,0.8398668609285769,Balanced
69593ddac1fb00b7ab7169e6,14,4.5,5.642857142857143,0.6504436355879909,0.744946343668492,-0.0945027080805011,0.8731415908223376,Balanced
