token,n_placements,mean_x,mean_y,var_x,var_y,high_high_rate
30545a77-664a-44d4-9d54-a7c1993a32b9,14,5.642857142857143,6.142857142857143,1.7857142857142858,0.5934065934065934,0.7857142857142857
7cb82cfd-fb62-4f52-9d5d-7a429aef0680,24,4.833333333333333,4.666666666666667,1.7971014492753623,3.8840579710144927,0.3333333333333333
a286d5ad-f97f-4e1f-88c7-4d6e9234c1c8,23,4.6521739130434785,4.608695652173913,1.691699604743083,4.158102766798419,0.2608695652173913
b828caf0-4cef-4a31-9cf0-102b91841982,24,4.666666666666667,4.708333333333333,1.710144927536232,2.9981884057971016,0.2916666666666667
fed6c52e-3491-40cf-91df-5c9a734a0926,23,4.782608695652174,4.391304347826087,1.8142292490118577,4.976284584980237,0.34782608695652173
eb0fc86c-c0b4-447e-a72b-785aa6e61518,25,4.76,4.68,2.0233333333333334,3.31,0.32
cdecce63-879c-40b2-b10f-9c7fa53bd875,25,3.68,5.8,4.31,1.25,0.36
7372d8df-8801-4122-acd5-a879fc9db86b,23,4.695652173913044,4.434782608695652,1.948616600790514,3.8932806324110674,0.34782608695652173
ad1b9e2e-51bb-4e90-a9ad-816022f82dc4,23,4.608695652173913,5.739130434782608,3.794466403162055,2.656126482213439,0.4782608695652174
403fcc5a-e686-45f2-bcab-23af322043b8,23,4.304347826086956,4.739130434782608,1.6758893280632412,3.292490118577075,0.30434782608695654
ab659953-8333-4356-ac9b-53729fb97748,24,4.458333333333333,4.583333333333333,1.4764492753623188,4.340579710144928,0.25
dfbc11e3-d5d5-4bcc-b914-d89ffa62854f,23,4.826086956521739,4.695652173913044,2.150197628458498,3.039525691699605,0.30434782608695654
35569596-4e4f-4ef8-ba25-8e0b36d7c77c,24,4.541666666666667,4.333333333333333,1.7373188405797102,3.449275362318841,0.20833333333333334
c9a109b8-eb5c-4ec3-b8c4-7c0dbf4de12b,23,4.565217391304348,4.478260869565218,2.2569169960474307,3.9881422924901186,0.21739130434782608
1bcbccfe-54d9-4e71-b8b9-210f70fb1bbc,24,4.541666666666667,5.25,3.5634057971014492,2.8043478260869565,0.4583333333333333
0faae8e3-9d8d-456d-927c-72e3e608a22a,4,5.25,5.0,2.25,4.666666666666667,0.5
